date,entry,exit,pnl
2025-09-03,28.11768341064453,27.150829315185547,-3.44
2025-09-04,27.801977157592773,26.87458610534668,-3.34
2025-09-05,26.973243713378906,28.551780700683594,5.85
2025-09-08,26.144512176513672,29.222660064697266,11.77
2025-09-09,25.907732009887695,31.235292434692383,20.56
2025-09-10,25.67095184326172,31.018245697021484,20.83
2025-09-11,25.35524559020996,32.00482940673828,26.23
2025-09-12,25.35524559020996,29.91326904296875,17.98
2025-09-15,27.1310977935791,28.96614646911621,6.76
2025-09-16,27.249488830566406,29.0056095123291,6.44
2025-09-17,27.150829315185547,29.498903274536133,8.65
2025-09-18,26.87458610534668,29.262123107910156,8.88
2025-09-19,28.551780700683594,28.946414947509766,1.38
2025-09-22,29.222660064697266,28.630708694458008,-2.03
2025-09-23,31.235292434692383,28.61097526550293,-8.4
2025-09-24,31.018245697021484,27.44680404663086,-11.51
2025-09-25,32.00482940673828,27.6243896484375,-13.69
2025-09-26,29.91326904296875,27.486268997192383,-8.11
2025-09-29,28.96614646911621,27.032438278198242,-6.68
2025-09-30,29.0056095123291,25.61175537109375,-11.7
2025-10-01,29.498903274536133,27.328414916992188,-7.36
2025-10-02,29.262123107910156,26.77592658996582,-8.5
2025-10-03,28.946414947509766,26.045854568481445,-10.02
2025-10-06,28.630708694458008,26.815391540527344,-6.34
2025-10-07,28.61097526550293,26.992977142333984,-5.66
2025-10-08,27.44680404663086,26.479951858520508,-3.52
2025-10-09,27.6243896484375,26.479951858520508,-4.14
2025-10-10,27.486268997192383,26.87458610534668,-2.23
2025-10-13,27.032438278198242,27.308683395385742,1.02
2025-10-14,25.61175537109375,27.210023880004883,6.24
2025-10-15,27.328414916992188,27.111366271972656,-0.79
2025-10-16,26.77592658996582,27.111366271972656,1.25
2025-10-17,26.045854568481445,28.453123092651367,9.24
2025-10-20,26.815391540527344,28.78856086730957,7.36
2025-10-21,26.992977142333984,26.69700050354004,-1.1
2026-01-14,25.217121124267578,27.525732040405273,9.15
2026-01-15,25.138195037841797,28.097951889038086,11.77
2026-01-16,25.71041488647461,27.801977157592773,8.14
2026-01-19,26.223440170288086,27.170562744140625,3.61
2026-01-20,25.335512161254883,28.374195098876953,11.99
2026-01-21,25.57229232788086,28.43338966369629,11.19
2026-01-22,26.401025772094727,28.315000534057617,7.25
2026-01-23,26.69700050354004,28.630708694458008,7.24
2026-01-26,27.22975730895996,29.59756088256836,8.7
2026-01-27,27.071903228759766,28.80829429626465,6.41
2026-01-28,27.525732040405273,28.847755432128906,4.8
2026-01-29,28.097951889038086,29.498903274536133,4.99
2026-01-30,27.801977157592773,29.183195114135742,4.97
2026-02-02,27.170562744140625,29.69622039794922,9.3
2026-02-03,28.374195098876953,28.70963478088379,1.18
2026-02-04,28.43338966369629,29.242389678955078,2.85
2026-02-05,28.315000534057617,29.025341033935547,2.51
2026-02-06,28.630708694458008,29.656755447387695,3.58
2026-02-09,29.59756088256836,31.057706832885742,4.93
2026-02-10,28.80829429626465,31.551000595092773,9.52
2026-02-11,28.847755432128906,30.959049224853516,7.32
2026-02-12,29.498903274536133,31.47207260131836,6.69
2026-02-13,29.183195114135742,32.22187805175781,10.41
2026-02-16,29.69622039794922,31.07744026184082,4.65
2026-02-17,28.70963478088379,28.74909782409668,0.14
2026-02-18,29.242389678955078,28.472854614257812,-2.63
2026-02-19,29.025341033935547,28.492584228515625,-1.84
2026-02-20,29.656755447387695,27.82170867919922,-6.19
2026-02-23,31.057706832885742,27.94009780883789,-10.04
2026-02-24,31.551000595092773,28.92668342590332,-8.32
2026-02-25,30.959049224853516,28.57151222229004,-7.71
2026-02-26,31.47207260131836,28.275537490844727,-10.16
2026-02-27,32.22187805175781,28.019023895263672,-13.04
2026-03-02,31.07744026184082,27.782243728637695,-10.6
2026-03-03,28.74909782409668,28.315000534057617,-1.51
2026-03-04,28.472854614257812,27.900634765625,-2.01
2026-03-05,28.492584228515625,27.525732040405273,-3.39
